Name,Structure Graph ID,ID,Ea (J/mol),A,RT_conductivity (S/m),SMILES,Cation Name,Anion Name,Cation SMILES,Anion SMILES,reference,source
1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,ABnWNT,wtsvf,25712.13,4185.24184,0.130887937,CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-methyl-3-octylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",synthesized by the authors
1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,ABvtlG,UNfpW,26245.46035,5738.015181,0.144710526,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,1-butyl-3-methylimidazolium,bis(perfluoroethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",synthesized by the authors
1-butyl-3-methylimidazolium bis(fluorosulfonyl)imide,ABJVwk,YOMsH,18829.07487,1609.691052,0.808812361,CCCCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F,1-butyl-3-methylimidazolium,bis(fluorosulfonyl)imide,CCCCN1C=C[N+](=C1)C,N(S(=O)(=O)F)S(=O)(=O)F,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",commercial source
1-ethyl-3-methylimidazolium chloride,AAcKZa,KjGfx,42375.04371,2011790.695,0.075750106,CCN1C=C[N+](=C1)C.[Cl-],1-ethyl-3-methylimidazolium,chloride,CCN1C=C[N+](=C1)C,[Cl-],"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10.",commercial source
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ABchwx,kqkSI,23868.76133,6088.306044,0.40053247,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Vranes, M.; Cvjeticanin, N.; Papovic, S.; Sarac, B.; Prislan, I.; Megusar, P.; Gadzuric, S.; Bester-Rogac, M. (2017) J. Mol. Liq. 243, 52-60.",commercial source
1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,JoOZn,41034.43374,400096.4956,0.025872772,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,1-methyl-3-octylimidazolium,tetrafluoroborate,CCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2007) Fluid Phase Equilib. 261(1-2), 414-420.",synthesized by the authors
3-dodecyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,ABvbLu,vWPmd,21898.73962,270.9932721,0.03946861,CCCCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-dodecyl-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,CCCCCCCCCCCC[N+]1=CNC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Abdurrokhman, Iqbaal; Elamin, Khalid; Danyliv, Olesia; Hasani, Mohammad; Swenson, Jan; Martinelli, Anna (2019) J. Phys. Chem. B 123, 4044-4054.",commercial source
3-hexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,ABfREp,gUZAR,5068.769089,1.669150163,0.215991208,CCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-hexyl-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,CCCCCC[N+]1=CNC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Abdurrokhman, Iqbaal; Elamin, Khalid; Danyliv, Olesia; Hasani, Mohammad; Swenson, Jan; Martinelli, Anna (2019) J. Phys. Chem. B 123, 4044-4054.",commercial source
3-octyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,ABkmvU,XtkGO,20291.9442,276.0687147,0.076881981,CCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-octyl-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,CCCCCCCC[N+]1=CNC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Abdurrokhman, Iqbaal; Elamin, Khalid; Danyliv, Olesia; Hasani, Mohammad; Swenson, Jan; Martinelli, Anna (2019) J. Phys. Chem. B 123, 4044-4054.",commercial source
3-decyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,ABqGRY,uPpcR,19861.54493,141.9715167,0.047034386,CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-decyl-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,CCCCCCCCCC[N+]1=CNC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Abdurrokhman, Iqbaal; Elamin, Khalid; Danyliv, Olesia; Hasani, Mohammad; Swenson, Jan; Martinelli, Anna (2019) J. Phys. Chem. B 123, 4044-4054.",commercial source
1-butyl-4-methylpyridinium tetrafluoroborate,AAtevY,udmiG,44433.77063,10414486.89,0.170901118,[B-](F)(F)(F)F.CCCC[N+]1=CC=C(C=C1)C,1-butyl-4-methylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=C(C=C1)C,[B-](F)(F)(F)F,"Bandres, I.; Montano, D. F.; Gascon, I.; Cea, P.; Lafuente, C. (2010) Electrochim. Acta 55, 2252-2257.",commercial source
1-butyl-3-methylpyridinium tetrafluoroborate,AAtejH,EqbrQ,41000.87208,2956600.422,0.193798732,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,1-butyl-3-methylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F,"Bandres, I.; Montano, D. F.; Gascon, I.; Cea, P.; Lafuente, C. (2010) Electrochim. Acta 55, 2252-2257.",commercial source
1-butylpyridinium tetrafluoroborate,AAquMR,LaPdo,39781.88625,2098160.014,0.224887784,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1,1-butylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F,"Bandres, I.; Montano, D. F.; Gascon, I.; Cea, P.; Lafuente, C. (2010) Electrochim. Acta 55, 2252-2257.",commercial source
N-octyl-3-methylpyridinium tetrafluoroborate,ABETZR,ekOJD,48877.8521,12915862.72,0.035287244,[B-](F)(F)(F)F.CCCCCCCC[N+]1=CC=CC(=C1)C,N-octyl-3-methylpyridinium,tetrafluoroborate,[B-](F)(F)(F)F,[B-](F)(F)(F)F,"Bandres, I.; Montano, D. F.; Gascon, I.; Cea, P.; Lafuente, C. (2010) Electrochim. Acta 55, 2252-2257.",commercial source
1-propylpyridinium tetrafluoroborate,AAoJgc,jUgOB,37064.05,1134299.329,0.363936604,[B-](F)(F)(F)F.CCC[N+]1=CC=CC=C1,1-propylpyridinium,tetrafluoroborate,[B-](F)(F)(F)F,[B-](F)(F)(F)F,"Bandres, I.; Lopez, M. C.; Castro, M.; Barbera, J.; Lafuente, C. (2012) J. Chem. Thermodyn. 44(1), 148-153.",commercial source
1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABZTch,eWxEO,31023.93087,84041.43494,0.308342573,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccccc1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Garcia-Mardones, M.; Bandres, I.; Lopez, M. C.; Gascon, I.; Lafuente, C. (2012) J. Solution Chem. 41, 1836-1852.",commercial source
2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABcDsh,PnbhR,33290.438,177655.867,0.261229743,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-methyl-1-propylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CCC[n+]1ccccc1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Garcia-Mardones, M.; Bandres, I.; Lopez, M. C.; Gascon, I.; Lafuente, C. (2012) J. Solution Chem. 41, 1836-1852.",commercial source
1-octyl-3-methylimidazolium hexafluorophosphate,ABNWoR,Islbc,39250.80507,108664.9095,0.014429894,CCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium,hexafluorophosphate,CCCCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"Kanakubo, M.; Harris, K. R.; Tsuchihashi, N.; Ibuki, K.; Ueno, M. (2007) Fluid Phase Equilib. 261(1-2), 414-420.",synthesized by the authors
1-hexylpyridinium tetrafluoroborate,AAwOrj,ofDGX,48995.8806,21931223.37,0.057131855,[B-](F)(F)(F)F.CCCCCC[N+]1=CC=CC=C1,1-hexylpyridinium,tetrafluoroborate,CCCCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F,"Reinado, C.; Pelegrina, A.; Sanchez-Rubio, M.; Artigas, H.; Lafuente, C. (2022) J. Chem. Eng. Data 67(3), 636-643.",commercial source
1-hexylpyridinium bis(trifluromethylsulfonyl)imide,ABhYBm,LMIxp,35192.84827,204365.3461,0.139490271,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexylpyridinium,bis(trifluromethylsulfonyl)imide,CCCCCC[N+]1=CC=CC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Reinado, C.; Pelegrina, A.; Sanchez-Rubio, M.; Artigas, H.; Lafuente, C. (2022) J. Chem. Eng. Data 67(3), 636-643.",commercial source
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,ABcDLM,iQxCq,34299.00127,276846.7003,0.271006651,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1=CC=CC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Reinado, C.; Pelegrina, A.; Sanchez-Rubio, M.; Artigas, H.; Lafuente, C. (2022) J. Chem. Eng. Data 67(3), 636-643.",commercial source
